phrase1,phrase2,sentence1,sentence2,label,idx
rub,rub,give that lamp a good rub and see if any genies come out .,he gave the hood a quick rub .,1,1505
see,see,you have to be a good observer to see all the details .,i saw their laughing and joking .,1,1506
grow,grow,an oak tree will grow from that acorn .,the gardener grew that acorn into an oak tree .,1,1507
take,take,how should i take this message ?,you ca n't take credit for this !,1,1508
floor,floor,the room has a wooden floor .,we spread our sleeping bags on the dry floor of the tent .,1,1509
evil,evil,attempts to explain the origin of evil in the world .,do n't go giving me evils !,1,1510
know,know,i know that the president lied to the people .,she knew of our plan .,1,1511
break,break,the book dealer would not break the set .,break off the negotiations .,0,1512
carry,carry,i carry these thoughts in the back of my head .,amanda carried the package from home to new york .,0,1513
motion,motion,police controlled the motion of the crowd .,he made a motion to adjourn .,0,1514
way,way,do you know the way to the airport ?,they split the loot three ways .,0,1515
pain,pain,the pain of loneliness .,the patient developed severe pain and distension .,0,1516
flux,flux,it is important to use flux when soldering or oxides on the metal will prevent a good bond .,his opinions are in flux .,0,1517
come,come,your wish will come true .,which letter comes before y ?,1,1518
turn,turn,turn your face to the wall .,turn your dance partner around .,1,1519
time,time,it took more than half my time .,take time to smell the roses .,1,1520
poise,poise,to poise the scales of a balance .,"i poised the crowbar in my hand , and waited .",1,1521
be,be,i shall be writing to you soon .,we liked to chat while we were eating .,1,1522
know,know,i know it 's time .,she knew of our plan .,1,1523
use,use,use the plastic bags to store the food .,we only use spanish at home .,1,1524
call,call,call a football game .,i tried to call you all night .,0,1525
principle,principle,the principle of the internal combustion engine .,the principles of democracy .,1,1526
see,see,i want to see whether she speaks french .,i went to see my friend mary the other day .,0,1527
breath,breath,not a breath of scandal ever touched her .,the child 's breath came quickly and unevenly .,0,1528
follow,follow,can you follow her argument ?,the police had been following him for weeks but they could not prove his involvement in the bombing .,0,1529
finance,finance,can we finance the addition to our home ?,his parents financed his college education .,1,1530
snap,snap,to snap a whip .,to snap a fastener .,1,1531
test,test,she does n't test well .,she tested high on the lsat and was admitted to all the good law schools .,0,1532
air,air,an air of mystery .,the program was on the air from 9 til midnight .,0,1533
hold,hold,hold your tongue .,about a dozen animals were held inside the stockade .,0,1534
pass,pass,a mountain pass .,we got through the pass before it started to snow .,1,1535
head,head,a head of cauliflower .,he is two heads taller than his little sister .,0,1536
be,be,i shall be writing to you soon .,the sky is a deep blue today .,1,1537
practice,practice,you should practice playing piano every day .,pianists practice scales .,1,1538
hand,hand,"on the one hand ... , but on the other hand ...",a good hand .,0,1539
run,run,run a new program on the mac .,my computer is too old to run the new os .,1,1540
origin,origin,mineral origin .,origin in sensation .,1,1541
crystallize,crystallize,he tried to crystallize his thoughts .,my ideas crystallized overnight .,1,1542
treat,treat,i like to treat myself to a day at a spa when i am depressed .,treat the infection with antibiotics .,0,1543
rise,rise,rise to a challenge .,the building rose before them .,0,1544
acknowledge,acknowledge,we must acknowledge the kindness she showed towards us .,* they his gifts acknowledged none . - john milton .,1,1545
fatigue,fatigue,he was hospitalized for extreme fatigue .,he was suffering from museum fatigue .,0,1546
load,load,load the camera .,he loaded his gun carefully .,1,1547
cut,cut,cut paper dolls .,the vietnamese cut a lot of timber while they occupied cambodia .,0,1548
hold,hold,hold in place .,hold your breath .,0,1549
charge,charge,this cartridge has a powder charge of 50 grains .,the battery needed a fresh charge .,0,1550
run,run,she got a run in her stocking .,the ship made its run in record time .,0,1551
term,term,a prison term .,the general term of an algebraic equation of the n-th degree .,0,1552
find,find,these aspects of civilization do not find expression or receive an interpretation .,she found that he had lied to her .,0,1553
refill,refill,he got a refill for his notebook .,he got a refill for his ball-point pen .,1,1554
optimization,optimization,in an optimization problem we seek values of the variables that lead to an optimal value of the function that is to be optimized .,the simultaneous optimization of growth and profitability .,1,1555
call,call,the engineer called round whilst you were away .,call roll .,0,1556
mine,mine,this diamond comes from a mine in south africa .,most coal and ore comes from open-pit mines nowadays .,1,1557
see,see,can you see the bird in that tree ?,i saw her bake the cake .,1,1558
point,point,he held me up at the point of a gun .,the one with the most points will win the game .,0,1559
call,call,he placed a phone call to london .,i received several calls today .,1,1560
unionize,unionize,we do n't allow people to come into our plant and try to unionize the workers .,my uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers .,1,1561
title,title,"a good title to an estate , or an imperfect title .",his title to fame .,0,1562
be,be,i shall be writing to you soon .,the woman is walking .,1,1563
class,class,an emerging professional class .,flirting is not unknown in college classes .,0,1564
pay,pay,you 'll pay for this opinion later .,he was allowed to go as soon as he paid .,0,1565
sight,sight,the sight of his wife brought him back to reality .,to gain sight of land .,0,1566
origin,origin,the rumor had its origin in idle gossip .,mineral origin .,1,1567
trump,trump,a trump can take a trick even when a card of a different suit is led .,clubs were declared trumps .,1,1568
course,course,we offer seafood as the first course .,he took a course in basket weaving .,0,1569
give,give,give a course .,i gave two sons to the war .,0,1570
gather,gather,let 's gather in the dining room .,gather some stones .,0,1571
light,light,"although he saw it in a different light , he still did not understand .",do you have a light ?,0,1572
mine,mine,he came out of the coal mine with a face covered in black .,most coal and ore comes from open-pit mines nowadays .,1,1573
be,be,i shall be writing to you soon .,this building is three hundred years old .,1,1574
see,see,i 'll see you to the door .,i want to see results .,0,1575
play,play,play sports .,play with her feelings .,0,1576
rig,rig,rig an election .,rig prices .,0,1577
grip,grip,the grip of a sword .,there are several good grips on the northern face of this rock .,1,1578
series,series,the post office issued a series commemorating famous american entertainers .,his coin collection included the complete series of indian-head pennies .,1,1579
give,give,give an excuse .,the roof finally gave under the weight of the ice .,0,1580
work,work,she knows how to work the system .,is your husband working again ?,0,1581
go,go,the washing machine wo n't go unless it 's plugged in .,the policemen went from door to door looking for the suspect .,0,1582
beat,beat,the grandfather clock beat midnight .,beat one 's breast .,0,1583
hold,hold,hold in place .,i hold with those who say life is sacred .,0,1584
demand,demand,there is a demand for jobs .,there is a demand for voluntary health workers in the poorer parts of africa and asia .,1,1585
hold,hold,"to carry well , i.e. to hold the head high , with arching neck .",this theory holds for all irrational numbers .,0,1586
blow,blow,blow on the soup to cool it down .,the fuse blew .,0,1587
mean,mean,i mean to go to baddeck this summer .,i mean no harm .,1,1588
contact,contact,litmus paper turns red on contact with an acid .,they forget to solder the contacts .,0,1589
trouble,trouble,he got several girls in trouble .,one trouble after another delayed the job .,0,1590
crunch,crunch,a financial crunch .,an end-of-the year crunch .,1,1591
meeting,meeting,there was an informal meeting in my living room .,his meeting with the salesmen was the high point of his day .,0,1592
weakness,weakness,the weakness of the dollar against the yen .,"in a small number of horses , muscle weakness may progress to paralysis .",1,1593
have,have,what do we have here ?,"have , throw , or make a party .",0,1594
line,line,a shared line .,"please speak up , the line is very faint .",1,1595
hit,hit,he tries to hit on women in bars .,he hit a home run .,0,1596
silence,silence,he needed silence in order to sleep .,he gestured for silence .,0,1597
carry,carry,marsupials carry their young in a pouch .,the senator carried his home state .,0,1598
give,give,do n't give the child this tough meat .,can i give you my keys while i go in the pool ?,0,1599
slip,slip,he blamed his slip on the ice .,the jolt caused many slips and a few spills .,1,1600
death,death,the death of my grandmother saddened the whole family .,her death came as a terrible shock .,1,1601
stay,stay,stay alone .,i can only stay for an hour .,1,1602
wall,wall,a wall of prejudice .,a wall of smoke .,1,1603
whole,whole,the whole of american literature .,europe considered as a whole .,1,1604
escape,escape,he made his escape from the mental hospital .,the prisoners made their escape by digging a tunnel .,1,1605
get,get,get someone mad .,he got aids .,0,1606
check,check,check the brakes .,check out the engine .,1,1607
history,history,all of human history .,the dawn of recorded history .,0,1608
raise,raise,to raise your walking stick to defend yourself .,raise a shout .,0,1609
admit,admit,to admit evidence in the trial of a cause .,we can not admit non-members into our club building .,1,1610
look,look,you do n't look your age !,this project looks fishy .,0,1611
title,title,he held the title for two years .,he had no documents confirming his title to his father 's estate .,0,1612
empathize,empathize,you really have to empathize .,you really have to empathize with them .,1,1613
side,side,it brought out his better side .,the patient was bleeding on the right side .,0,1614
come,come,your wish will come true .,their anger came to a boil .,1,1615
distress,distress,a ship in distress .,she was the classic maiden in distress .,1,1616
case,case,the accusative case canonically indicates a direct object .,a case of the jitters .,0,1617
depth,depth,the depth of the water .,from the depths of darkest africa .,0,1618
see,see,i can see a risk in this strategy .,i ca n't see him on horseback !,1,1619
sophisticate,sophisticate,to sophisticate the understanding . — southey .,to sophisticate wine . — howell .,0,1620
shoulder,shoulder,the car pulled off onto the shoulder .,he stopped the car on the shoulder of the highway to change the flat tire .,1,1621
go,go,the washing machine wo n't go unless it 's plugged in .,the day went well until i got your call .,0,1622
make,make,you have to spend money to make money !,"she makes more than he does , and works longer hours than he does , but she still does most of the house-cleaning .",1,1623
get,get,we 'll get them !,did you get it ?,0,1624
stretch,stretch,stretch the imagination .,i always stretch my muscles before exercising .,0,1625
move,move,the chairman of the company told the salesmen to move the computers .,she moves in certain circles only .,0,1626
slot,slot,he followed the deer 's slot over the soft turf to the edge of the trees .,the pc had three slots for additional memory .,0,1627
luck,luck,the luck of the irish .,they say luck is a lady .,0,1628
fall,fall,fall into a trap .,fall prey to an imposter .,1,1629
step,step,to step to one of the neighbors .,step off ten yards .,0,1630
touch,touch,he could not touch the meaning of the poem .,"they stood next to each other , their shoulders touching .",0,1631
stick,stick,stick your thumb in the crack .,she sticks to her principles .,0,1632
impact,impact,his friend 's opinion had an impact on his decision .,our choice of concrete will have a tremendous impact on the building 's mechanical performance .,1,1633
chain,chain,the third link of the silver chain needs to be resoldered .,this led to an unfortunate chain of events .,1,1634
time,time,the time of year for planting .,he waited a long time .,1,1635
carry,carry,you must carry your camping gear .,carry the suitcases to the car .,1,1636
tension,tension,the direction of maximum tension moves asymptotically toward the direction of the shear .,there is a tension between these approaches to understanding history .,0,1637
umbrella,umbrella,the democratic party is an umbrella for many liberal groups .,under the umbrella of capitalism .,1,1638
fringe,fringe,the fringe of a picture .,interference fringe .,0,1639
disband,disband,the president wanted to disband the scandal-plagued agency .,the principal disbanded the political student organization .,1,1640
draw,draw,i draw a line here .,draw parallels .,1,1641
suffer,suffer,"if you keep partying like this , your school-work will suffer .",many saints suffered martyrdom .,0,1642
finish,finish,it was a fight to the finish .,booze will be the finish of him .,1,1643
rest,rest,i need to get a good rest tonight ; i was up late last night .,the gun was steadied on a special rest .,0,1644
sign,sign,the hunters found deer sign at the end of the trail .,their angry expressions were a clear sign they did n't want to talk .,1,1645
foot,foot,the swiftest of foot .,he followed on foot .,1,1646
develop,develop,we must develop more potential customers .,we develop the leaders for the future .,0,1647
key,key,some students had stolen the key to the final exam .,some students cheated by using the answer key .,1,1648
move,move,to move in a matter .,"come on guys , let 's move : there 's work to do !",1,1649
block,block,block a muscle .,block a nerve .,1,1650
shot,shot,he is still recovering from a shot to his leg .,i caught him with a solid shot to the chin .,1,1651
mechanism,mechanism,the mechanism of the ear .,the mechanism of infection .,1,1652
leave,leave,might i beg leave to accompany you ?,"the applicant now seeks leave to appeal and , if leave be granted , to appeal against these sentences .",1,1653
bed,bed,my cat often sleeps on my bed .,he worked in the coal beds .,0,1654
plagiarism,plagiarism,"even if it 's not illegal , plagiarism is usually frowned upon .","copy from one , it 's plagiarism . copy from two , it 's research .",1,1655
refine,refine,refine paper stock .,refine pig iron .,1,1656
cut,cut,cut a ping-pong ball .,cut paper dolls .,0,1657
empathize,empathize,you really have to empathize .,you 've really got to empathize with what they want .,1,1658
time,time,the time is 10 o'clock .,do you know what time it is ?,1,1659
missus,missus,harry said he could n't stop and chat because his missus wanted to go shopping .,the missus has a list of chores for me to do this weekend .,1,1660
pay,pay,crime does n't pay .,to pay attention .,0,1661
make,make,make a decision .,make a move .,1,1662
treasure,treasure,the pirates hid their treasure on a small island in the west indies .,the trunk held all her meager treasures .,0,1663
tab,tab,pull the tab to open the can .,the collar has a tab with a button hole .,1,1664
question,question,his claim to the property has come under question .,the question of seniority will be discussed at the meeting .,0,1665
space,space,they tested his ability to locate objects in space .,functional analysis is best approached through a sound knowledge of hilbert space theory .,1,1666
drop,drop,he had a drop too much to drink .,there is not a drop of pity in that man .,1,1667
production,production,she tends to make a big production out of nothing .,they hope to increase spaghetti production next year .,0,1668
catch,catch,i have to catch a train at 7 o'clock .,catch one 's breath .,0,1669
come,come,come into the room .,he came from france .,1,1670
crack,crack,crack a joke .,the performance was fine until he cracked that dead baby joke .,1,1671
light,light,do you have a light ?,"hey , buddy , you got a light ?",1,1672
drill,drill,drill a hole into the wall .,drill for oil .,1,1673
light,light,he finally saw the light .,he stepped into the light .,0,1674
mount,mount,mount an attack .,mount a theater production .,1,1675
pull,pull,you 'll be sent home if you pull another stunt like that .,i pulled a muscle in my leg when i jumped up .,0,1676
make,make,they hope to make a bigger profit .,she made ten points in that game .,1,1677
variant,variant,"the word "" kerosine "" is a variant of “ kerosene ” .",all breeds of dog are variants of the species “ canis lupus familiaris ” .,1,1678
work,work,he could not work the math problem .,work out your problems with the boss .,1,1679
presence,presence,"i 'm convinced that there was a presence in that building that i ca n't explain , which led to my heroic actions .",any painter can benefit from the presence of a live model from which to draw .,0,1680
ulteriority,ulteriority,a terrible feeling of ulteriority .,their conversation was limited to ulteriorities .,1,1681
circulation,circulation,a fan aids air circulation .,ocean circulation is an important part of global climate .,1,1682
break,break,he finally got his big break .,it was presented without commercial breaks .,0,1683
life,life,he wanted to live his own life without interference from others .,the life of this milk carton may be thousands of years in this landfill .,0,1684
roll,roll,roll out the paper .,she rolled the ball .,0,1685
get,get,get an idea .,get nauseous .,1,1686
pull,pull,pull weeds .,he pulled out his gun before she had a chance to scream .,1,1687
beat,beat,the grandfather clock beat midnight .,beat swords into ploughshares .,0,1688
court,court,the court is now in session .,the girls were playing in the court .,0,1689
raise,raise,to raise sandy hook light .,raise the specter of unemployment .,0,1690
land,land,the plane turned away from the sea and moved back over land .,they come from a faraway land .,1,1691
hinge,hinge,his absence is the hinge of our plan .,this argument was the hinge on which the question turned .,1,1692
lie,lie,do n't lie to your parents .,the book lies on the table .,0,1693
mean,mean,i 'm afraid i do n't understand what you mean .,the sky is red this morning — does that mean we 're in for a storm ?,1,1694
tab,tab,the collar has a tab with a button hole .,the filing cards were organized by cards having indexed tabs .,1,1695
lyric,lyric,the lyric in line 3 does n't rhyme .,the lyrics were written by the composer .,1,1696
light,light,he stepped into the light .,it brought the scandal to light .,0,1697
begin,begin,begin a new chapter in your life .,begin a cigar .,0,1698
period,period,hastened the period of time of his recovery .,in england they call a period a stop .,0,1699
head,head,the head of the page .,the head of the list .,1,1700
discover,discover,"the story is false , so far as i can discover .",i discovered how to do it .,1,1701
hold,hold,hold these truths to be self-evident .,hold the bridge against the enemy 's attacks .,0,1702
source,source,pittsburgh is the source of the ohio river .,he spent hours looking for the source of that quotation .,0,1703
set,set,to set pear trees in an orchard .,set these words in italics .,0,1704
get,get,get nauseous .,she did n't get to chicago until after midnight .,0,1705
line,line,there is a narrow line between sanity and insanity .,toe the line .,0,1706
raise,raise,we raise hogs here .,raise the question of promotions .,0,1707
line,line,i ca n't follow your line of reasoning .,toe the line .,0,1708
pull,pull,he was sidelined with a hamstring pull .,iron fillings drawn by the pull of a magnet .,0,1709
hold,hold,i hold with those who say life is sacred .,elections will be held on the first sunday of next month .,0,1710
leave,leave,she did n't leave until midnight .,i left my keys inside the car and locked the doors .,0,1711
speck,speck,the plane was just a speck in the sky .,a tiny speck of soot .,1,1712
patter,patter,the patter of mice .,the patter of tiny feet .,1,1713
fit,fit,how does this shirt fit ?,"the small shirt does n't fit me , so i 'll buy the medium size .",1,1714
give,give,give priority to .,give bond .,0,1715
come,come,your wish will come true .,the water came to a boil .,1,1716
cut,cut,if you cut then i 'll deal .,the employer wants to cut back health benefits .,0,1717
play,play,play sports .,pele played for the brazilian teams in many important matches .,1,1718
see,see,i see that you have been promoted .,we had to see a psychiatrist .,0,1719
normalize,normalize,normalize relations with china .,normalize the spelling .,1,1720
act,act,"she wants to act lady macbeth , but she is too young for the role .","the dog acts ferocious , but he is really afraid of people .",0,1721
window,window,window of opportunity .,the expanded window will give us time to catch the thieves .,1,1722
take,take,we take all major credit cards .,we took a pay cut .,1,1723
come,come,nothing good will come of this .,come down here !,0,1724
cover,cover,is this enough to cover the check ?,this paint covers well .,0,1725
line,line,"i tried to make a call , but the line was dead .",drop me a line when you get there .,0,1726
see,see,the artist must first learn to see .,i went to see my friend mary the other day .,0,1727
authority,authority,she lost all her respect and authority after turning up drunk to the meeting .,tennessee valley authority .,0,1728
hold,hold,hold one 's nose .,i hold with those who say life is sacred .,0,1729
area,area,it was a mountainous area .,it was a closed area of employment .,0,1730
limit,limit,the sequence of reciprocals has zero as its limit .,to the limit of his ability .,0,1731
come,come,nothing good will come of this .,"the bill came to $ 2,000 .",0,1732
shame,shame,the teenager could n't bear the shame of introducing his parents .,one mistake brought shame to all his family .,1,1733
footage,footage,"they had stock footage of lightning , tornados , and hurricanes .",he edited the news footage .,1,1734
go,go,let 's go this way for a while .,her money went on clothes .,0,1735
fall,fall,fall into a trap .,the estate fell to the oldest daughter .,0,1736
note,note,it ended on a sour note .,he detected a note of sarcasm .,1,1737
dress,dress,dress the windows .,dress the victim 's wounds .,0,1738
turn,turn,turn cartwheels .,turn the dial to 10 .,0,1739
face,face,he washed his face .,she has a pretty face .,1,1740
rustle,rustle,rustle cattle .,the dry leaves were rustling in the breeze .,0,1741
part,part,he tried to sing the tenor part .,his part was right in the middle .,0,1742
hand,hand,a ranch hand .,her hands are really strong .,0,1743
language,language,he uttered harsh language .,the english language .,1,1744
pressurize,pressurize,pressurize a space suit .,the airplane cabin is pressurized .,1,1745
leave,leave,leave your child the nurse 's care .,"at her death , she left behind her husband and 11 cats .",0,1746
touch,touch,he has a touch of rheumatism .,this piano has a wonderful touch .,0,1747
trust,trust,he needs to regain her trust if he is ever going to win her back .,he betrayed their trust .,0,1748
describe,describe,"the feeling is difficult to describe , but not unpleasant .",he described going to work .,1,1749
charge,charge,"charge all weapons , shields , and banners .",he charged the director with indifference .,0,1750
use,use,the use of torture has been condemned by the united nations .,he warned against the use of narcotic drugs .,1,1751
play,play,play football .,he plays on three teams .,1,1752
sense,sense,common sense is not so common .,he has n't got the sense god gave little green apples .,1,1753
day,day,after that day she never trusted him again .,those were the days .,1,1754
sanitize,sanitize,sanitize a document before releasing it to the press .,sanitize history .,1,1755
shower,shower,you should shower after vigorous exercise .,he showered her with presents .,0,1756
action,action,a man of action .,he saw action in korea .,0,1757
power,power,the power of his love saved her .,the deterrent power of nuclear weapons .,1,1758
notice,notice,he gave notice two months before he moved .,"he took no notice of the changes , and went on as though nothing had happened .",0,1759
have,have,have an assistant .,have a lover .,1,1760
call,call,he placed a phone call to london .,she reported several anonymous calls .,1,1761
carry,carry,this boat can only carry a small sail .,amanda carried the package to new york .,0,1762
weapon,weapon,the club that is now mostly used for golf was once a common weapon .,he used all his conversational weapons .,0,1763
right,right,you have no right to go through my personal diary .,he stood on the right .,0,1764
rebellion,rebellion,his body was in rebellion against fatigue .,each generation must have its own rebellion .,1,1765
post,post,he occupied a post in the treasury .,a pair of posts marked the goal .,0,1766
unit,unit,change per unit volume .,the dollar is the united states unit of currency .,1,1767
third,third,"he answered the first question willingly , the second reluctantly , and the third with resentment .",now put it into third .,0,1768
opening,opening,there is an opening in the sales department .,he slipped through an opening in the crowd .,0,1769
foot,foot,we went there by foot because we could not afford a taxi .,the foot of the list .,0,1770
rock,rock,he threw a rock at me .,some fool has thrown a rock through my window .,1,1771
voice,voice,the wee small voice of conscience .,the voice of the law .,0,1772
trade,trade,they are accused of conspiring to constrain trade .,they rode the trade winds going west .,0,1773
shift,shift,shift the date for our class reunion .,shift one 's position .,0,1774
split,split,he inserted the wedge into a split in the log .,they announced a two-for-one split of the common stock .,0,1775
language,language,the english language .,he recorded the spoken language of the streets .,1,1776
cut,cut,cut my hair .,cut the engine .,0,1777
give,give,the french doors give onto a terrace .,give a course .,0,1778
pay,pay,pay attention .,he paid off the loan three months early .,0,1779
hang,hang,hang the venison for a few days .,hang one 's head in shame .,0,1780
stretch,stretch,"during the inquisition , the torturers would stretch their victims on a rack .",let 's stretch for a minute -- we've been sitting here for over 3 hours .,0,1781
mail,mail,he works for the united states mail service .,the mail handles billions of items every day .,1,1782
charge,charge,i need to charge my car battery .,do n't forget to charge the drill .,1,1783
see,see,you 'll see a lot of cheating in this school .,the 1960 's saw the rebellion of the younger generation against established traditions .,1,1784
tone,tone,from the tone of her behavior i gathered that i had outstayed my welcome .,the general tone of articles appearing in the newspapers is that the government should withdraw .,1,1785
court,court,the court is now in session .,the noblemen visited the queen in her court .,0,1786
glass,glass,we looked through the glass to see stars .,would you like a glass of milk ?,0,1787
text,text,he wants to reconstruct the original text .,there were more than a thousand words of text .,1,1788
lift,lift,lift a ban .,lift a load .,0,1789
hit,hit,the car hit a tree .,the ball hit the fence .,1,1790
life,life,he lived a long and happy life .,life depends on many chemical and physical processes .,0,1791
drive,drive,drive the cows into the barn .,drive the ball far out into the field .,0,1792
wash,wash,he managed to wash out the stains .,he washed the dirt from his coat .,1,1793
dawn,dawn,"it started to dawn , and we had to get up .",the age of computers had dawned .,0,1794
carry,carry,to carry an account to the ledger .,how many credits is this student carrying ?,0,1795
bind,bind,bind the books in leather .,the hydrogen binds the oxygen .,0,1796
meet,meet,does this paper meet the requirements for the degree ?,this proposal meets my requirements .,1,1797
hold,hold,hold your temper .,the book holds in store much valuable advise .,0,1798
burn,burn,to burn the mouth with pepper .,she was burning with anger .,0,1799
room,room,room to pass .,hardly enough elbow room to turn around .,1,1800
take,take,take the gun from your pocket .,mother took our plates away and came back with some fruit for us to eat .,1,1801
get,get,did you get it ?,what did you get at the toy store ?,0,1802
support,support,they called for artillery support .,he applied to the state for support .,0,1803
interest,interest,victorian furniture is an interest of mine .,he counts reading among his interests .,1,1804
make,make,he did n't make the choir after his voice changed .,he made twenty bucks playing poker last night .,1,1805
faith,faith,they broke faith with their investors .,keep the faith .,1,1806
raise,raise,to raise sandy hook light .,raise hell .,0,1807
ghetto,ghetto,the relative security of the gay ghetto .,no escape from the ghetto of the typing pool .,1,1808
diversification,diversification,my broker recommended a greater diversification of my investments .,he limited his losses by diversification of his product line .,1,1809
life,life,his heroism saved a life .,"she 's my love , my life .",0,1810
office,office,during his first year in office .,he rented an office in the new building .,0,1811
give,give,give priority to .,give one 's name .,0,1812
leak,leak,he had to clean up the leak .,a leak in a boat .,1,1813
fair,fair,trade fair .,book fair .,1,1814
trend,trend,the trend of a coastline .,not openly liberal but that is the trend of the book .,0,1815
title,title,his title to fame .,he kept the title to his car in the glove compartment .,0,1816
way,way,if i had my way .,a lonely way of life .,0,1817
stay,stay,i can only stay for an hour .,the smell stayed in the room .,0,1818
spend,spend,spend money .,i spent the time on worrying about the future .,0,1819
light,light,they saw the light of the beacon .,he stopped the car and turned off the lights .,0,1820
shock,shock,whole fields of wheat in shock .,it came as a shock to learn that he was injured .,0,1821
bit,bit,a horse hates having a bit put in its mouth .,the horse was not accustomed to a bit .,1,1822
have,have,what do we have here ?,i have two years left .,0,1823
take,take,do you take me for a fool ?,you ca n't take credit for this !,1,1824
owe,owe,i still owe for the car .,the thesis owes much to his adviser .,1,1825
purchase,purchase,$ 50 wo n't even purchase a dress .,carmen purchased a dress for $ 50 .,1,1826
go,go,the washing machine wo n't go unless it 's plugged in .,these ugly billboards have to go !,0,1827
grace,grace,it has become less common to say grace before having dinner .,god 's grace is manifested in the salvation of sinners .,0,1828
feel,feel,i made the students feel different about themselves .,he felt his flesh crawl .,0,1829
catch,catch,i have to stop for a moment and catch my breath .,catch one 's breath .,1,1830
make,make,make my day .,make revolution .,0,1831
connect,connect,this computer will connect well to the network .,herman connected the computers .,1,1832
act,act,the governor should act on the new energy bill .,the nanny acted quickly by grabbing the toddler and covering him with a wet towel .,1,1833
shake,shake,shake one 's head .,the bad news shook her hopes .,0,1834
read,read,the gauge read ` empty ' .,read the advertisement .,0,1835
cut,cut,she cut the deck for a long time .,wayne cut .,1,1836
lead,lead,the police are following a promising lead .,we were just waiting for someone to take the lead .,0,1837
chain,chain,a chain of mountains .,the chain of command .,1,1838
piece,piece,it was a nice piece of work .,it is down the road a piece .,0,1839
keep,keep,keep food for a week in the pantry .,there 's little to earn and many to keep .,0,1840
space,space,it all happened in the space of 10 minutes .,they tested his ability to locate objects in space .,0,1841
cut,cut,cut grain .,cut a disk .,0,1842
see,see,i want to see whether she speaks french .,could you see about lunch ?,0,1843
air,air,air pollution .,the flock of birds took to the air .,1,1844
suffer,suffer,i 've been suffering your insults for years .,many saints suffered martyrdom .,1,1845
move,move,i move to repel the rule regarding obligatory school uniform .,he moved his hand slightly to the right .,0,1846
play,play,let 's play like i am mommy .,play cowboy and indians .,1,1847
wall,wall,his back was to the wall .,the container 's walls were blue .,0,1848
hold,hold,hold your breath .,he 's held by a contract .,0,1849
bounce,bounce,bounce a check .,the rubber ball bounced .,0,1850
go,go,this chair has got to go .,the policemen went from door to door looking for the suspect .,0,1851
round,round,"the total is $ 25,715 but to keep the figures simple , i 'll round it down to $ 25,000 .",ninety-five rounds up to one hundred .,1,1852
place,place,he lost his place on the page .,grosvenor place .,0,1853
pick,pick,to pick rags .,she finally picked her successor .,0,1854
keep,keep,keep potatoes fresh .,keep notes .,0,1855
ensure,ensure,this nest egg will ensure a nice retirement for us .,our exertions ensured a good outcome .,1,1856
touch,touch,the two buildings touch .,are you all right ? you 've hardly touched your lunch .,0,1857
follow,follow,"when he lectures , i can not follow .",follow the trail .,0,1858
raise,raise,"to raise a wall , or a heap of stones .",the president raised several million dollars for his college .,0,1859
make,make,make merry .,"he made as if to punch him , but they both laughed and shook hands .",1,1860
home,home,there 's no place like home .,the teacher asked how many people made up his home .,0,1861
edge,edge,she sat on the edge of the bed .,the water 's edge .,1,1862
keep,keep,may god keep you .,she keeps an apartment in paris for her shopping trips .,0,1863
draw,draw,draw a line .,"to draw a memorial , a deed , or bill of exchange .",0,1864
sale,sale,he celebrated after the sale of company .,the salesman faxed the sales agreement to his home office .,1,1865
hold,hold,i hold him personally responsible .,the bridge held .,0,1866
point,point,"10.5 ( "" ten point five "" ; = ten and a half ) .",he stuck the point of the knife into a tree .,0,1867
garage,garage,we do n't garage our car .,we garaged the convertible during the monsoon months .,1,1868
hold,hold,to hold true .,he 's held by a contract .,0,1869
hold,hold,the general ordered the colonel to hold his position at all costs .,hold the taxi .,1,1870
vote,vote,they allowed just one vote per person .,"the supreme court upheld the principle of one person , one vote .",1,1871
deal,deal,we need to finalise the deal with henderson by midnight .,it was a package deal .,1,1872
fill,fill,he ate his fill of potatoes .,do n't feed him any more : he 's had his fill .,1,1873
face,face,dew dripped from the face of the leaf .,he looked out at a roomful of faces .,0,1874
close,close,the owners decided to move and to close the factory .,my business closes every night at 8 p.m.,1,1875
rotation,rotation,the medical resident finished a two-week rotation in pediatrics and began one in orthopaedics .,crop rotation makes a balanced demand on the fertility of the soil .,1,1876
swing,swing,the party went with a swing .,he took a wild swing at my head .,0,1877
slip,slip,he 's a mere slip of a lad .,"she could n't hurt a fly , young slip of a girl that she is .",1,1878
action,action,a rifle action .,gawkers always try to get as close to the action as possible .,0,1879
production,production,the production of white blood cells .,they hope to increase spaghetti production next year .,0,1880
side,side,he had a pain in his side .,the confederate side was prepared to attack .,0,1881
translate,translate,the renowned director could translate experience to film with ease .,braque translated collage into oil .,1,1882
advance,advance,to advance the ripening of fruit .,to advance one 's interests .,1,1883
know,know,does your husband know how to cook ?,she knows how to knit .,1,1884
center,center,shopping center .,the center fumbled the handoff .,0,1885
use,use,use your common sense .,i ca n't use this tool .,0,1886
make,make,what make of car is that ?,what make of car do you drive ?,1,1887
eye,eye,that dress caught her eye .,he tried to catch her eye .,1,1888
rub,rub,rub my hands .,i rubbed the cloth over the glass .,1,1889
procession,procession,a procession of mourners .,processions were forbidden .,1,1890
