,sentence1,sentence2,label,hypothesis_graph_structure
3312,"In organisms (plants and some algae) that have alternation of generations, the multicellular haploid form that produces haploid gametes by mitosis.",The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3313,"In some algae, the haploid gametophyte is multicellular, and when gametes are produced (by mitosis), they fuse to form a diploid ZYGOTE.",The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3314,"Multicellular haploid form that produces haploid female gametes by mitosis, In seed plants, the gametophyte that produces an egg; in flowering plants, an embryo sac.",The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3315,"The gametophyte produces haploid gametes by mitosis cell division, which unite to form diploid zygote that develops into a sporophyte.",The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3316,Then a haploid gametophyte produces haploid gametes via mitosis.,The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3317,"This haploid stage is the gametophyte stage, which produces gametes by mitosis .",The haploid gametophyte produces gametes through mitosis.,1,The haploid gametophyte<>produces<>gametes
3318,"Chemical mutagens can cause rearrangements as well as point mutations, and likewise radiation can cause point mutations as well as rearrangements.","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",0,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3319,"Exposure to radiation or cancer-causing chemicals may cause DNA  mutations in many organs, but these factors have not been proven to be important causes of mutations in prostate cells.","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",1,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3320,"Moreover, exposure to the ultraviolet radiation of the sun can cause tissue destruction and trigger mutations that can lead to skin cancer .","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",1,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3321,Radiation can damage organisms at a cellular level and cause cancer or genetic mutations.,"Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",1,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3322,"Radiation causes a variety of health effects, including immonodeficiency, infections, cancer, and mutations.","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",1,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3323,"Stressors-like toxins, pollutants, oxidants, chemicals in processed foods, radiation, depression, and fatigue are now thought the cause of DNA mutations that produce cancer.","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",1,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3324,"c) mutagens are chemicals, ionizing radiation that can cause mutations.","Cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.",0,"Cancer<>is caused<>by mutations$$$mutations<>can be caused<>by pathogens, chemicals, or radiation"
3325,Carbohydrates are starches and sugars.,Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3326,Carbohydrates include both starches and sugars.,Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3327,"Carbohydrates include insoluble cellulose, soluble hemicellulose, starch and sugars.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3328,"Carbohydrates include sugars, starches, and fiber.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3329,"Nonstructural carbohydrates, which include plant sugars and starches, are highly digestible.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3330,"Potash is important for the formation and transportation of starch, sugar, and other carbohydrates within plants.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,0,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3331,"Sugars and starches are carbohydrates, of course, and can be used as energy molecules as described above.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,1,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3332,"carbohydrate transformations, such as converting starch to sugar.",Carbohydrates are an important group of biological molecules that includes sugars and starches.,0,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3333,"sugars, starches, and other carbohydrates;",Carbohydrates are an important group of biological molecules that includes sugars and starches.,0,Carbohydrates<>are<>an important group of biological molecules$$$biological molecules<>includes<>sugars and starches
3334,A saturated fatty acid has the maximum possible number of hydrogen atoms attached to every carbon atom.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3335,Fats are classified as &quot;saturated&quot; when all the carbons of the fatty acid molecule are holding the maximum number of hydrogen atoms.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3336,Fatty acids can be classified by the lengths of the chains and by whether all of the available chemical bonds of the carbon atoms are occupied or saturated with hydrogen atoms.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3337,"If the carbon of a fatty acid chain bind the maximum possible number of hydrogen atoms, the fatty acid is saturated, If the number of hydrogen atoms bound by the carbons is less than the possible maximum, the fatty acid is unsaturated.",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3338,"In saturated fatty acids , carbon atoms are bonded to as many hydrogen atoms as possible.",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3339,"Saturated Fatty Acids   In saturated fatty acids, carbon atoms are bonded to as many hydrogen atoms as possible.",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3340,Saturated fatty acid A fatty acid that has the maximum possible number of hydrogen atoms attached to every carbon atom.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3341,Saturated fatty acids are so called because each carbon atom in the chain holds all the possible hydrogen atoms it can.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3342,"The configuration of the hydrogen atoms in cis fatty acids causes a bend in the carbon chain, whereas in saturated fatty acids such as stearic acid the carbon chain is straight (see illustration).",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3343,The fatty acids that contain as many hydrogen atoms as possible on the carbon chain are called saturated fatty acids and are derived mostly from animal sources.,Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3344,"The more hydrogen atoms attached to the carbon atoms  in the chain, the more saturated the fatty acid.",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,1,Carbon atoms<>are bonded<>
3345,"Unsaturated (see also ' Saturated ') If the free bonds in a fatty acid chain of carbon atoms are not all occupied by hydrogen atoms, the fatty acid is said to be unsaturated.",Carbon atoms are bonded to as many hydrogen atoms as possible in saturated fatty acids.,0,Carbon atoms<>are bonded<>
3346,7H consists of a proton and six neutrons.,Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3347,An ordinary carbon atom has six protons and six neutrons in its nucleus;,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3348,Carbon 14 has six protons and eight neutrons.,Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3349,Carbon has six protons and an atomic number of 6.,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3350,Carbon has six protons and six electrons.,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3351,Carbon-14 attracts six electrons no matter how many neutrons it has.,Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3352,"Every atom of hydrogen, for example, has one proton, and every atom of carbon has six protons.",Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3353,"For example, any atom with six protons in its nucleus is a carbon atom.",Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3354,"For example, the most common variety of carbon has six neutrons, in addition to its six protons.",Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3355,"In your journal, Please Draw a picture of an atom with six protons, six neutrons, and six electrons.",Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3356,Most carbon atoms in the world have six protons and six neutrons in their nucleus.,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3357,"Of those six, two are found in ordinary matter and make up the protons and neutrons of atoms.",Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3358,The atoms called Carbon form the basis of life and have six protons in the nucleus.,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3359,"This theory holds that there are six quarks, grouped into three distinct pairs, that combine to form larger particles such as the protons and neutrons in the nuclei of atoms.",Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3360,"This theory holds there are six quarks, grouped into three distinct pairs, that combine to form composite particles, such as the protons and neutrons in the nuclei of atoms.",Carbon atoms have six neutrons as well as six protons.,0,Carbon atoms<>have<>six neutrons as well as six protons
3361,Thus a stable element such as Carbon has a nucleus with six protons and six neutrons which may be written as 12 6 C or simply 12 C.,Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3362,"the atom of carbon has six protons and six neutrons, and so on.",Carbon atoms have six neutrons as well as six protons.,1,Carbon atoms<>have<>six neutrons as well as six protons
3363,"Sublimation is common in several substances, including carbon dioxide and iodine.",Carbon dioxide is an example of a material that easily undergoes sublimation.,1,Carbon dioxide<>is<>an example of a material$$$a material<>easily undergoes<>sublimation
3364,"A carbon dioxide molecule, CO 2 , is linear, with the two oxygen atoms an equal distance on either side of the carbon atom.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3365,"A lot of carbon combines with oxygen to make carbon monoxide (one oxygen atom) or carbon dioxide (two oxygen atoms), for example.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3366,"CARBON DIOXIDE Carbon dioxide, CO 2 , is a molecule that has one carbon atom and two oxygen atoms;",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3367,CO 2 (carbon dioxide) is an example of a molecule that contains one atom of carbon and two of oxygen.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3368,Carbon Dioxide is a naturally occurring chemical compound composed of two oxygen atoms covalently bonded to a single carbon atom.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3369,Carbon dioxide (chemical formula CO2) is a naturally occurring chemical compound composed of two oxygen atoms each covalently double bonded to a single carbon atom.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3370,"Carbon dioxide is CO 2 , which means there is one atom of carbon and two atoms of oxygen in the molecule.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3371,Carbon dioxide is composed of two atoms of oxygen and one atom of carbon.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3372,Carbon dioxide is the chemical compound that consists of two oxygen atoms bonded to a carbon atom.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3373,"Carbon monoxide consists of one carbon atom and one oxygen atom, connected by a triple bond that consists of two covalent bonds as well as one dative covalent bond.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,0,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3374,"Consider, for example, the common molecule Carbon Dioxide, CO 2 , consisting of one Carbon atom and two Oxygen atoms.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3375,Each carbon dioxide molecule has one atom of carbon and two atoms of oxygen.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3376,Each molecule of carbon dioxide has the chemical formula CO 2 which means that it is made up of one atom of carbon and two atoms of oxygen.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3377,"Each molecule of carbon dioxide has three atoms, one carbon atom and two oxygen atoms.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3378,"In carbon dioxide, which consists of one carbon atom and two heavier oxygen atoms, the carbon accounts for roughly 27 percent of the total weight.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3379,"In the case of carbon dioxide, two atoms of oxygen combine with one atom of carbon.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3380,"Plants take in carbon dioxide gas, which is made up of molecules containing one carbon atom and two oxygen atoms.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3381,"The above equation, if written out, could say, one atom of solid elemental carbon combines with one molecule of diatomic oxygen gas to produce one molecule of carbon dioxide gas, the carbon dioxide containing two oxygen atoms bound to the carbon atom.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3382,"The compound carbon dioxide is represented by the symbol CO2, which means that a molecule of carbon dioxide is made up of one atom of carbon and two atoms of oxygen.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3383,The formula indicates that carbon dioxide is composed of one atom of carbon and two atoms of oxygen.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3384,The water molecule consists of two hydrogen atoms attached to a central oxygen atom.,Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,0,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3385,"Then, if carbon dioxide is formed of one atom of carbon and two atoms of oxygen, the proportion must naturally consist of 3 parts of carbon to 8 of oxygen.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3386,"Thus, for example, when wood burns, each atom of the element carbon combines with two atoms of the element oxygen to form one molecule of the compound carbon dioxide, releasing energy in the process.",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3387,"molecule -- two or more atoms bonded into a single particle, such as water, H2O (two hydrogen atoms bonded to one oxygen) or carbon dioxide, CO2 (one carbon atom bonded to two oxygen atoms).",Carbon dioxide molecules consist of a central carbon atom bonded to two oxygen atoms.,1,Carbon dioxide molecules<>consist<>of a central carbon atom$$$a central carbon atom<>bonded<>
3388,"Ama is a sticky substance, a metabolic a residual that forms when the anabolic and catabolic processes are not in perfect balance.",Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3389,METABOLIC Refers to the process of building the body's molecular structures from nutrients (anabolism) and of breaking them down for energy production and excretion (catabolism).,Catabolic and anabolic hormones in the body help regulate metabolic processes.,1,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3390,"Metabolism is the sum of all chemical processes that occur in the body, including catabolism and anabolism.",Catabolic and anabolic hormones in the body help regulate metabolic processes.,1,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3391,"On the physical level, meditation helps to prolong the body's anabolic process of growth and repair, and to reduce the catabolic or decaying process.",Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3392,"The biochemical aspects of fundamental processes such as photosynthesis, anabolic and catabolic pathways of carbohydrate and lipid metabolism, and the assimilation of nitrogen and sulphur are covered.",Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3393,There is no catabolic process to metabolize galactose.,Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3394,"When the anabolic or growth energies are stronger than the catabolic, there is surfeit, metabolic residuals that congest the functioning of various systems of the body.",Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3395,Whether the process is anabolic or catabolic is not demonstrated.,Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3396,a) anabolic b) catabolic c) metabolic 2 .,Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3397,the abnormal activation of catabolic body chemistry during the anabolic process of eating.,Catabolic and anabolic hormones in the body help regulate metabolic processes.,0,Catabolic and anabolic hormones in the body help<>regulate<>metabolic processes
3398,A pericyclic reaction is a type of reaction with multiple carbon-carbon bond making and breaking.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3399,But standard bond-breaking chemical reactions tend to be indiscriminate.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3400,Catabolism -Decomposition reactions- bonds are broken.,Catabolic reactions involve breaking bonds.,1,Catabolic reactions<>involve<>breaking bonds
3401,Chemical reactions also involve bond breaking and bond forming.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3402,"Examples of a ChemViz simulation include plotting the energy of a reaction along a reaction coordinate, visualizing the electron density changes during such a reaction, or visualizing the participating electronic orbitals involved in bond-making and -breaking processes.",Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3403,"In addition, quantum mechanics methods are required to accurately describe transition states and chemical reactions involving bond breaking and formation.",Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3404,In biochemistry the process of breaking down large molecules (by splitting their internal bonds) is catabolism.,Catabolic reactions involve breaking bonds.,1,Catabolic reactions<>involve<>breaking bonds
3405,Quantum Classical Molecular Dynamics Chemical reactions involving bond formation and breaking are outside the purview of classical molecular dynamics simulations.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3406,"The carbon-hydrogen bond energy, for example, is less than that of the carbon-deuterium bond energy, so reactions involving the breaking of these bonds will differ in various parameters.",Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3407,The chain scission reaction involves the breaking of one of the oxygen bonds between the glucose units (the building blocks of cellulose).,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3408,The final step involves a reverse-aldol reaction to break the bond between the alpha and beta carbons.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3409,The reaction involves the breaking of two C-Br bonds (one per bromomethane molecule) and of an F-F bond and the making of two C-F bonds and of a Br-Br bond.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3410,The total energy for a given reaction may involve the breaking of bonds in the reacting molecules as well as the formation of the new bonds which are present in the product molecules.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3411,"Therefore during many chemical reactions involving molecules that have Pi bonds and sigma bonds , the Pi bond breaks without disturbing the sigma bond.",Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3412,This can lead to a decrease in the reaction rate if the rate-determining step involves breaking a bond between hydrogen and another atom.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3413,This reaction also may not break bonds to the chiral center.,Catabolic reactions involve breaking bonds.,0,Catabolic reactions<>involve<>breaking bonds
3414,A tyrosine kinase puts phosphate on the amino acid tyrosine.,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3415,"Composed mainly of hormone-producing chromaffin cells, the adrenal medulla is the principal site of the conversion of the amino acid tyrosine into the catecholamines epinephrine, norepinephrine, and dopamine.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,1,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3416,L- Tyrosine is natural amino acid.,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3417,"L-Tyrosine A dietary nonessential amino acid, tyrosine is a component of thyroxin, a hormone secreted by the thyroid gland.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3418,Neuropeptide Y (NPY) is a 36 amino acid peptide hormone that begins and ends with tyrosine (Y) residues.,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3419,"Phenylalanine Tyrosine Tryptophan Proline Next we have 2 amino acids with acidic sidechains, and 2 more with half-acidic and half-aminic sidechains.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3420,"Some of the modifications  are quite extensive--thyroid hormone, for example, is a modification of the amino acid tyrosine with iodine molecules added.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3421,"TYROSINE Tyrosine is a non-essential amino acid that is used by the thyroid gland to produce one of the major hormones, Thyroxin.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3422,"The amino acid l-tyrosine is a precursor to the all-important T3 hormone and a precursor to the stimulatory neurotransmitters epinephrine, norepinephrine, and dopamine.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3423,"The amino acids phenylalanine or tyrosine, taken in daily doses of 1500 mg, to boost levels of brain hormones and neurotransmitters (refer to Phenylalanine and Tyrosine-Dosing and Precautions protocol).",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3424,"The synthesis of catecholamines (e.g., dopamine, norepinephrine) in the brain also varies with the availability of the precursor amino acid L-tyrosine.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3425,The thyroid gland combines the amino acid tyrosine and iodine to manufacture the thyroid hormone.,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3426,Thyroid hormone is produced using phenalaline and tyrosine which are amino acids.,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3427,"Two tyrosines separated by a single amino acid, typically valine or another tyrosine, form a short intra-molecular diphenylether crosslink.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3428,Tyr Tyrosine (an amino acid ).,Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3429,"Tyrosine A nonessential amino acid used to manufacture adrenal and thyroid hormones, and converted into the skin pigment melanin.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3430,"Tyrosine Crystals Tyrosine, an amino acid, may be the problem.",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3431,"synthesizing carnitine, tyrosine, adrenal hormones, and vasoactive amines;",Catecholamines are a class of amine hormones that when synthesised form the amino acid tyrosine.,0,Catecholamines<>are<>a class of amine hormones that when synthesised form the amino acid tyrosine
3432,At the time of cell division a structure known as the phragmoplast appears across the center of the cell.,Cells in green algae divide along cell plates called phragmoplasts.,1,Cells in green algae<>divide<>along cell plates$$$cell plates<>called<>phragmoplasts
3433,"Be able to define cytokinesis, and describe the process as it occurs in plant cells, including the role of the phragmoplast and cell plate.",Cells in green algae divide along cell plates called phragmoplasts.,0,Cells in green algae<>divide<>along cell plates$$$cell plates<>called<>phragmoplasts
3434,"Unlike other charophytes, cell division in the Klebsormidiales occurs through formation of a cleavage furrow, but apparently neither a phragmoplast nor a cell plate is formed.",Cells in green algae divide along cell plates called phragmoplasts.,0,Cells in green algae<>divide<>along cell plates$$$cell plates<>called<>phragmoplasts
3435,"At the micro level, however, inertia is much more feeble at performing these tasks because the mass of micromachines and microcomponents is very small relative to the forces acting on it;",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3436,"Both results are achieved through precise use of leverage, inertia, gravity, and the action of centrifugal and centripetal forces.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3437,"By using eggs, boomerangs, bubbles, a bucket of water, beach balls, leaf blowers, whips, and a stack of glassware, they'll demonstrate flight, aerodynamics, friction, the sound barrier, inertia, centrifugal force, and more.",Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
3438,CONCLUSIONS We observe consistently improved pointing performance with an isometric joystick using a negative inertia transfer function.,Centrifuges use inertia to perform their task.,0,Centrifuges<>use<>inertia<>to perform their task$$$Centrifuges<>use inertia to perform<>their task
